test_id	method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	analysis_scope	variable	status	n	n_clusters	n_categories	test	statistic	chi_square_statistic	degrees_of_freedom	p_value	cramers_v	fisher_odds_ratio	min_expected_count	cells_expected_lt5	fraction_cells_expected_lt5	family	effect_size	effect_size_name	epsilon_squared	q_value	q_value_family	q_value_scope	q_value_family_scope
categorical::umap__metric-euclidean__nn-15__mindist-0p1::ajcc_pathologic_tumor_stage	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	ajcc_pathologic_tumor_stage	ok	388	9	11.0	permutation_chi_square_5000	109.99309438623692	109.99309438623692	80.0	0.014997000599880024	0.09898829757727169		0.0979381443298969	65.0	0.6565656565656566	categorical	0.09898829757727169	cramers_v		0.03215325521283178	0.03230123206128005	0.029994001199760048	0.03129808820844527
categorical::umap__metric-euclidean__nn-15__mindist-0p1::histological_type	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	histological_type	ok	410	9	7.0	permutation_chi_square_5000	141.657748264235	141.657748264235	48.0	0.0001999600079984003	0.19644508296423105		0.32439024390243903	32.0	0.5079365079365079	categorical	0.19644508296423105	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0012573756303270506	0.0013057362314934755
categorical::umap__metric-euclidean__nn-15__mindist-0p1::histological_grade	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	histological_grade	ok	412	9	4.0	permutation_chi_square_5000	102.38305345582044	102.38305345582044	24.0	0.0001999600079984003	0.25265671849577437		0.41504854368932037	18.0	0.5	categorical	0.25265671849577437	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0012573756303270506	0.0013057362314934755
categorical::umap__metric-euclidean__nn-15__mindist-0p1::tumor_status	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	tumor_status	ok	369	9	2.0	chi_square	23.02684070355185	23.02684070355185	8.0	0.0033299563196059617	0.20192828832850432		6.127371273712737	0.0	0.0	categorical	0.20192828832850432	cramers_v		0.012245730985451946	0.012118926078797857	0.009619873812195	0.009989868958817885
categorical::umap__metric-euclidean__nn-15__mindist-0p1::vital_status	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	vital_status	ok	411	9	2.0	chi_square	15.2489678803987	15.2489678803987	8.0	0.05448143165078242	0.13278901927500814		7.350364963503649	0.0	0.0	categorical	0.13278901927500814	cramers_v		0.08039692346304649	0.08172147748668089	0.08853232643252143	0.09017616273232952
categorical::umap__metric-euclidean__nn-15__mindist-0p1::OS	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	OS	ok	412	9	2.0	chi_square	15.554265392978298	15.554265392978298	8.0	0.049222855480692405	0.13539924993159788		7.33252427184466	0.0	0.0	categorical	0.13539924993159788	cramers_v		0.07424220743772943	0.0751767247341484	0.08256737048374209	0.08438203796690126
categorical::umap__metric-euclidean__nn-15__mindist-0p1::DSS	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	DSS	ok	389	9	2.0	chi_square	19.531981515057137	19.531981515057137	8.0	0.012259440150163213	0.1722459239262335		4.442159383033419	1.0	0.05555555555555555	categorical	0.1722459239262335	cramers_v		0.02788281372758241	0.027986179116748614	0.025499635512339483	0.02674786941853792
categorical::umap__metric-euclidean__nn-15__mindist-0p1::DFI	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	DFI	ok	242	9	2.0	permutation_chi_square_5000	19.74403754302827	19.74403754302827	8.0	0.009798040391921616	0.22043943434112356		2.309917355371901	5.0	0.2777777777777778	categorical	0.22043943434112356	cramers_v		0.024025733775400612	0.023971904648196575	0.022506394274949184	0.022753717288959613
categorical::umap__metric-euclidean__nn-15__mindist-0p1::PFI	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	PFI	ok	412	9	2.0	chi_square	23.83533172474584	23.83533172474584	8.0	0.002442072943235195	0.1961674184045733		6.133495145631068	0.0	0.0	categorical	0.1961674184045733	cramers_v		0.01025670636158782	0.010143995302669271	0.00885975947343061	0.009436430208387633
continuous::mds__primary::age_at_initial_pathologic_diagnosis	MDS	mds	mds__primary	primary	True	3						primary	age_at_initial_pathologic_diagnosis	ok	407	3		kruskal_wallis	0.8624648446416151			0.6497078866098831						continuous	0.0	epsilon_squared	0.0	0.6919515723452462	0.6497078866098831	0.6497078866098831	0.6497078866098831
continuous::pca__primary::age_at_initial_pathologic_diagnosis	PCA	pca	pca__primary	primary	True	2						primary	age_at_initial_pathologic_diagnosis	ok	407	2		kruskal_wallis	6.44784349631511			0.011108709921859994						continuous	0.013451465423000271	epsilon_squared	0.013451465423000271	0.02621911650145053	0.024994597324184988	0.024068871497363323	0.01481161322914666
continuous::tsne__primary::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__primary	primary	True	3						primary	age_at_initial_pathologic_diagnosis	ok	407	3		kruskal_wallis	14.933922434715067			0.0005716628191770473						continuous	0.03201465949186898	epsilon_squared	0.03201465949186898	0.003468087769674087	0.005713134558058081	0.002972646659720646	0.0011433256383540946
continuous::umap__metric-euclidean__nn-15__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	age_at_initial_pathologic_diagnosis	ok	407	9		kruskal_wallis	30.905527874180184			0.0001460477080536794						continuous	0.057551577573317046	epsilon_squared	0.057551577573317046	0.0014753805995557645	0.0046005028036909005	0.0012573756303270506	0.0005841908322147176
