test_id	method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	analysis_scope	variable	status	n	n_clusters	n_categories	test	statistic	chi_square_statistic	degrees_of_freedom	p_value	cramers_v	fisher_odds_ratio	min_expected_count	cells_expected_lt5	fraction_cells_expected_lt5	family	effect_size	effect_size_name	epsilon_squared	q_value	q_value_family	q_value_scope	q_value_family_scope
categorical::tsne__metric-correlation__perplexity-30::PFI	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	PFI	ok	412	4	2.0	chi_square	13.044992726300272	13.044992726300272	3.0	0.004540309484098313	0.156277817992749		27.116504854368934	0.0	0.0	categorical	0.156277817992749	cramers_v		0.014933789026010114	0.014795146422320365	0.015075399888759333	0.014882125531211135
categorical::tsne__metric-correlation__perplexity-5::center_code	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	center_code	ok	412	7	2.0	chi_square	47.37053607044085	47.37053607044085	6.0	1.578252941869119e-08	0.31721178214955503		18.932038834951456	0.0	0.0	categorical	0.31721178214955503	cramers_v		3.231472898477021e-06	2.9828980601326348e-06	3.0263000160340357e-06	2.7935077071083407e-06
categorical::tsne__metric-correlation__perplexity-5::gender	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	gender	ok	412	7	2.0	chi_square	9.809208722445069	9.809208722445069	6.0	0.13292001779116275	0.09608685049259023		14.271844660194175	0.0	0.0	categorical	0.09608685049259023	cramers_v		0.16494165844085196	0.16637008849357454	0.162858871638693	0.1642362523492901
categorical::tsne__metric-correlation__perplexity-5::race	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	race	ok	358	7	4.0	permutation_chi_square_5000	13.54388974118235	13.54388974118235	18.0	0.8188362327534493	0.0		0.09776536312849161	14.0	0.5	categorical	0.0	cramers_v		0.8563879580771744	0.8594901518311296	0.8589100733741383	0.8622429816707281
categorical::tsne__metric-correlation__perplexity-5::ajcc_pathologic_tumor_stage	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	ajcc_pathologic_tumor_stage	ok	388	7	11.0	permutation_chi_square_5000	79.50019512718248	79.50019512718248	60.0	0.04299140171965607	0.09187294308720712		0.18041237113402062	35.0	0.45454545454545453	categorical	0.09187294308720712	cramers_v		0.06693908366615652	0.06757068544711016	0.06648065548180687	0.06704385995047686
categorical::tsne__metric-correlation__perplexity-5::histological_type	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	histological_type	ok	410	7	7.0	permutation_chi_square_5000	97.17028283536487	97.17028283536487	36.0	0.0001999600079984003	0.15874466462383977		0.6829268292682927	21.0	0.42857142857142855	categorical	0.15874466462383977	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0014890225838327478	0.0013879577025771317
categorical::tsne__metric-correlation__perplexity-5::histological_grade	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	histological_grade	ok	412	7	4.0	permutation_chi_square_5000	78.94480703744397	78.94480703744397	18.0	0.0001999600079984003	0.22278905258357382		0.8737864077669902	14.0	0.5	categorical	0.22278905258357382	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0014890225838327478	0.0013879577025771317
categorical::tsne__metric-correlation__perplexity-5::tumor_status	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	tumor_status	ok	369	7	2.0	chi_square	16.76830115778361	16.76830115778361	6.0	0.010173572668935484	0.17093156052875969		12.254742547425474	0.0	0.0	categorical	0.17093156052875969	cramers_v		0.024506341223112238	0.02448865540012136	0.02461058528811987	0.024571950146380278
categorical::tsne__metric-correlation__perplexity-5::vital_status	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	vital_status	ok	411	7	2.0	chi_square	12.539391668406914	12.539391668406914	6.0	0.05096231279984672	0.12615124814048334		15.474452554744525	0.0	0.0	categorical	0.12615124814048334	cramers_v		0.07632283916926913	0.07721522928878674	0.07576279623041385	0.07660241000871701
categorical::tsne__metric-correlation__perplexity-5::OS	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	OS	ok	412	7	2.0	chi_square	12.70616895948132	12.70616895948132	6.0	0.047946686935058706	0.12759815679875486		15.436893203883495	0.0	0.0	categorical	0.12759815679875486	cramers_v		0.07326182201457665	0.07412616630450794	0.0726780807889131	0.07347674101736269
