test_id	method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	analysis_scope	variable	status	n	n_clusters	test	statistic	p_value	epsilon_squared	q_value	q_value_family	q_value_scope	q_value_family_scope
continuous::umap__metric-cosine__nn-15__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-15__mindist-0	metric=cosine, n_neighbors=15, min_dist=0	False	3	cosine		15.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	4.696668146333858	0.09552817267505234	0.006674921154291727	0.12610311269294178	0.11144953478756106	0.12472443434717347	0.11051298407506055
continuous::umap__metric-cosine__nn-15__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-15__mindist-0p1	metric=cosine, n_neighbors=15, min_dist=0.1	False	3	cosine		15.0	0.1		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	2.5463862969592754	0.2799363148968947	0.0013524413291071174	0.32065432433644303	0.28911455472957975	0.3185625423233208	0.2847628030847722
continuous::umap__metric-cosine__nn-15__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-15__mindist-0p5	metric=cosine, n_neighbors=15, min_dist=0.5	False	3	cosine		15.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	2.977717949500761	0.2256299581964812	0.002420093934407824	0.2643647149684093	0.24092690451488671	0.26181267463948726	0.23771727738557843
continuous::umap__metric-cosine__nn-15__mindist-1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-15__mindist-1	metric=cosine, n_neighbors=15, min_dist=1	False	3	cosine		15.0	1.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	4.273765476245533	0.11802217621802949	0.005628132366944388	0.1500934197555375	0.1327749482452832	0.1481554978056115	0.13138317729931584
continuous::umap__metric-cosine__nn-30__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-30__mindist-0	metric=cosine, n_neighbors=30, min_dist=0	False	2	cosine		30.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	3.982140509349474	0.045985091113006804	0.00736330989962833	0.07077572171476706	0.0629795813069441	0.07023522739008109	0.06309582268993957
continuous::umap__metric-cosine__nn-30__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-30__mindist-0p1	metric=cosine, n_neighbors=30, min_dist=0.1	False	2	cosine		30.0	0.1		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	4.591072001063297	0.03213890705855285	0.008866844447069868	0.05541424185464165	0.04820836058782928	0.05539447576159559	0.04862039785781073
continuous::umap__metric-cosine__nn-30__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-30__mindist-0p5	metric=cosine, n_neighbors=30, min_dist=0.5	False	2	cosine		30.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	4.256943925508401	0.039090185245059965	0.008041836853107163	0.06228997178776372	0.055970037964517674	0.06193598213817621	0.05625172998679361
continuous::umap__metric-cosine__nn-30__mindist-1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-30__mindist-1	metric=cosine, n_neighbors=30, min_dist=1	False	2	cosine		30.0	1.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	3.9011189248593516	0.04825395983496535	0.007163256604590992	0.07345723625434317	0.06333332228339203	0.07285588030200477	0.06326630289473235
continuous::umap__metric-cosine__nn-50__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-50__mindist-0	metric=cosine, n_neighbors=50, min_dist=0	False	2	cosine		50.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	4.3855962981901335	0.03624381207755658	0.008359497032568232	0.059486336856751185	0.05310139909037359	0.05927292934645181	0.05345962281439596
continuous::umap__metric-cosine__nn-50__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-50__mindist-0p1	metric=cosine, n_neighbors=50, min_dist=0.1	False	2	cosine		50.0	0.1		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	4.781463980684521	0.02876765399222812	0.009336948100455607	0.05166822065709393	0.04530905503775929	0.05155324909354899	0.045872745555174566
continuous::umap__metric-cosine__nn-50__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-50__mindist-0p5	metric=cosine, n_neighbors=50, min_dist=0.5	False	2	cosine		50.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	5.418367046141675	0.019925987520550803	0.010909548262078211	0.03894840997453725	0.03614220726367504	0.038888632132983374	0.0370206636902227
continuous::umap__metric-cosine__nn-50__mindist-1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-50__mindist-1	metric=cosine, n_neighbors=50, min_dist=1	False	2	cosine		50.0	1.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	3.929481505174045	0.04744657081019606	0.007233287667096407	0.07263316167018799	0.06333332228339203	0.07206241546815917	0.06326630289473235
continuous::umap__metric-cosine__nn-5__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-5__mindist-0	metric=cosine, n_neighbors=5, min_dist=0	False	3	cosine		5.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	2.9842213981529726	0.22489746335379715	0.0024361915795865657	0.26418613125512436	0.24092690451488671	0.2616573654965977	0.23771727738557843
continuous::umap__metric-cosine__nn-5__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-5__mindist-0p1	metric=cosine, n_neighbors=5, min_dist=0.1	False	3	cosine		5.0	0.1		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	4.371815178669293	0.11237569637381761	0.005870829650171518	0.14402600499853851	0.12872125221000927	0.14220236745613327	0.12750319396260076
continuous::umap__metric-cosine__nn-5__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-5__mindist-0p5	metric=cosine, n_neighbors=5, min_dist=0.5	False	3	cosine		5.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	3.569323168000078	0.1678538558199706	0.003884463287128906	0.2033614022434259	0.18552268274838854	0.201162355334246	0.18339587950700492
continuous::umap__metric-cosine__nn-5__mindist-1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-cosine__nn-5__mindist-1	metric=cosine, n_neighbors=5, min_dist=1	False	4	cosine		5.0	1.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	4	kruskal_wallis	6.794537503817398	0.07874303159410517	0.009415725815924064	0.1069494906725906	0.09360020736657784	0.10595772847838363	0.09291677728104411
continuous::umap__metric-euclidean__nn-15__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0	metric=euclidean, n_neighbors=15, min_dist=0	False	9	euclidean		15.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	9	kruskal_wallis	28.027823283427654	0.0004689869574050849	0.0503211640287127	0.003000783735271598	0.005713134558058081	0.003022798288484875	0.006879080386233199
