gene_column	gene_symbol	entrez_id	annotated	complete_in_primary_tumors	total_expression	passes_total_expression	log2_variance	retained_for_expression	retained_for_dimred
KIAA0408|9729	KIAA0408	9729	True	False		False		False	False
KIAA0415|9907	KIAA0415	9907	True	True	279170.6051188684	True	0.3292946683474216	True	False
KIAA0427|9811	KIAA0427	9811	True	True	283240.2291931843	True	0.5813426369011196	True	False
KIAA0430|9665	KIAA0430	9665	True	True	703417.7852438258	True	0.3364939581739404	True	False
KIAA0467|23334	KIAA0467	23334	True	True	370805.3618743635	True	0.332183312094745	True	False
KIAA0494|9813	KIAA0494	9813	True	True	1494035.284626832	True	0.21602316482164094	True	False
KIAA0495|57212	KIAA0495	57212	True	True	107695.18681306945	True	1.829245035374502	True	True
KIAA0513|9764	KIAA0513	9764	True	True	246663.14402654202	True	1.1207852491799597	True	True
KIAA0528|9847	KIAA0528	9847	True	True	569197.8479930963	True	0.5212144889688936	True	False
KIAA0556|23247	KIAA0556	23247	True	True	246393.88513755825	True	0.31745438078893135	True	False
KIAA0562|9731	KIAA0562	9731	True	True	315006.3706198463	True	0.17650585582689002	True	False
KIAA0564|23078	KIAA0564	23078	True	True	320707.32233698084	True	0.34628541541948804	True	False
KIAA0586|9786	KIAA0586	9786	True	True	140095.4028300737	True	0.3041020733045662	True	False
KIAA0649|9858	KIAA0649	9858	True	True	327816.2721184215	True	0.46971815752335283	True	False
KIAA0652|9776	KIAA0652	9776	True	True	691845.9932622178	True	0.16789265044444865	True	False
KIAA0664|23277	KIAA0664	23277	True	True	1207162.0086344406	True	0.3950569875551963	True	False
KIAA0664P3|100132341	KIAA0664P3	100132341	True	True	26952.453772072335	True	0.6809080428901716	True	False
KIAA0748|9840	KIAA0748	9840	True	True	18486.05598288552	True	2.513820327016165	True	True
KIAA0753|9851	KIAA0753	9851	True	True	165294.1262105825	True	0.27593433333762085	True	False
KIAA0754|643314	KIAA0754	643314	True	True	68074.64781158927	True	1.0228491641236306	True	True
KIAA0776|23376	KIAA0776	23376	True	True	496131.6956719263	True	0.2183804424799222	True	False
KIAA0802|23255	KIAA0802	23255	True	True	224926.0733651852	True	1.611705518931095	True	True
KIAA0831|22863	KIAA0831	22863	True	True	209936.91370287127	True	0.2792217399961572	True	False
KIAA0892|23383	KIAA0892	23383	True	True	452670.43637687806	True	0.17754610069962598	True	False
KIAA0895|23366	KIAA0895	23366	True	True	129082.46480152103	True	0.8152999424968018	True	True
KIAA0895L|653319	KIAA0895L	653319	True	True	112755.87973577557	True	0.38271383730057346	True	False
KIAA0907|22889	KIAA0907	22889	True	True	409435.99234859704	True	0.4207758156734462	True	False
KIAA0913|23053	KIAA0913	23053	True	True	565456.7965995816	True	0.351223986691253	True	False
KIAA0922|23240	KIAA0922	23240	True	True	158027.3995122915	True	0.8093752412098458	True	True
KIAA0947|23379	KIAA0947	23379	True	True	469390.6023337462	True	0.3212738268921906	True	False
KIAA1009|22832	KIAA1009	22832	True	True	90579.50087627866	True	0.510973991371866	True	False
KIAA1012|22878	KIAA1012	22878	True	True	473840.5574234823	True	0.29820384397087435	True	False
KIAA1024|23251	KIAA1024	23251	True	True	22616.19769052585	True	1.0648363997525536	True	True
KIAA1033|23325	KIAA1033	23325	True	True	525113.5467170305	True	0.223670203432992	True	False
KIAA1045|23349	KIAA1045	23349	True	True	6176.360069034081	True	2.784783368961842	True	True
KIAA1107|23285	KIAA1107	23285	True	True	44418.61850656298	True	0.6862587816900741	True	False
KIAA1109|84162	KIAA1109	84162	True	True	577813.326960725	True	0.4289301800209095	True	False
KIAA1143|57456	KIAA1143	57456	True	True	301027.05115028284	True	0.21765498289297056	True	False
KIAA1147|57189	KIAA1147	57189	True	True	536602.412946467	True	0.4845359836312344	True	False
KIAA1161|57462	KIAA1161	57462	True	True	329888.32744219294	True	0.9937708640226464	True	True
KIAA1191|57179	KIAA1191	57179	True	True	761648.0995733531	True	0.16288141894542363	True	False
KIAA1199|57214	KIAA1199	57214	True	True	665625.6939481705	True	3.930275946602635	True	True
KIAA1210|57481	KIAA1210	57481	True	False		False		False	False
KIAA1211|57482	KIAA1211	57482	True	True	270178.9181659829	True	1.0582895580738636	True	True
KIAA1217|56243	KIAA1217	56243	True	True	1034833.0754494003	True	0.5112943288588092	True	False
KIAA1239|57495	KIAA1239	57495	True	True	6756.441131251914	True	3.197385217305682	True	True
KIAA1244|57221	KIAA1244	57221	True	True	262269.0243528198	True	1.543498175698284	True	True
KIAA1257|57501	KIAA1257	57501	True	True	23303.75245054417	True	3.026001206265765	True	True
KIAA1267|284058	KIAA1267	284058	True	True	495137.0226215378	True	0.2461592645182576	True	False
KIAA1274|27143	KIAA1274	27143	True	True	167304.3490306	True	1.3888789286277863	True	True
KIAA1279|26128	KIAA1279	26128	True	True	245032.13893503707	True	0.17461611821733103	True	False
KIAA1310|55683	KIAA1310	55683	True	True	502852.2979367225	True	0.157622711766855	True	False
KIAA1324|57535	KIAA1324	57535	True	True	1389523.4096795511	True	6.458631242142898	True	True
KIAA1324L|222223	KIAA1324L	222223	True	True	74429.24346933878	True	4.818840447188113	True	True
KIAA1328|57536	KIAA1328	57536	True	True	35649.46982351168	True	0.46925038213558645	True	False
KIAA1370|56204	KIAA1370	56204	True	True	240559.38867844938	True	0.4547978714336994	True	False
KIAA1377|57562	KIAA1377	57562	True	True	51707.765649753	True	2.119238720512662	True	True
KIAA1383|54627	KIAA1383	54627	True	True	36759.29944204837	True	2.076430879463282	True	True
KIAA1407|57577	KIAA1407	57577	True	True	69936.8115579797	True	0.7888522216061673	True	True
KIAA1409|57578	KIAA1409	57578	True	True	2964.424563045711	True	1.2763387300511195	True	True
KIAA1429|25962	KIAA1429	25962	True	True	643730.9252316295	True	0.20114611005873842	True	False
KIAA1430|57587	KIAA1430	57587	True	True	366692.47732622735	True	0.32066385034252287	True	False
KIAA1432|57589	KIAA1432	57589	True	True	235203.56183129782	True	0.4582104823417953	True	False
KIAA1462|57608	KIAA1462	57608	True	True	335787.8135870353	True	1.0214376598079429	True	True
KIAA1467|57613	KIAA1467	57613	True	True	48723.849935661645	True	1.144284422907393	True	True
KIAA1468|57614	KIAA1468	57614	True	True	350274.24572946044	True	0.37811482974447397	True	False
KIAA1486|57624	KIAA1486	57624	True	False		False		False	False
KIAA1522|57648	KIAA1522	57648	True	True	1928247.4105255287	True	0.6647796923570408	True	False
KIAA1524|57650	KIAA1524	57650	True	True	145229.3664348318	True	0.6397003603224397	True	False
KIAA1529|57653	KIAA1529	57653	True	True	16927.150591649297	True	2.728629200215687	True	True
KIAA1530|57654	KIAA1530	57654	True	True	102342.7484407911	True	0.4700321167781378	True	False
KIAA1539|80256	KIAA1539	80256	True	True	187426.51353548435	True	0.5063745320856403	True	False
KIAA1543|57662	KIAA1543	57662	True	True	368111.3417743382	True	1.1096301919802523	True	True
KIAA1549|57670	KIAA1549	57670	True	True	160412.33041766682	True	1.511359023636827	True	True
