method	method_key	configuration_id	configuration_label	is_primary	source_file	metric	perplexity	n_neighbors	min_dist	pre_pca_components	k	silhouette	calinski_harabasz	davies_bouldin	inertia	min_cluster_size	max_cluster_size	cluster_size_ratio
UMAP	umap	umap__metric-cosine__nn-30__mindist-1	metric=cosine, n_neighbors=30, min_dist=1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		30.0	1.0		2	0.41318477357849426	370.1146987635494	0.9629222501176478	3013.9459400921032	206	206	1.0
UMAP	umap	umap__metric-cosine__nn-50__mindist-0	metric=cosine, n_neighbors=50, min_dist=0	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		50.0	0.0		2	0.5705125641110892	775.0400699276752	0.5938155698056514	884.4990548038746	147	265	0.5547169811320755
UMAP	umap	umap__metric-cosine__nn-50__mindist-0p1	metric=cosine, n_neighbors=50, min_dist=0.1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		50.0	0.1		2	0.4893815425738895	561.0071586766485	0.7925147641962618	949.1492517020368	202	210	0.9619047619047619
UMAP	umap	umap__metric-cosine__nn-50__mindist-0p5	metric=cosine, n_neighbors=50, min_dist=0.5	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		50.0	0.5		2	0.4524430145509084	472.29940235195113	0.8606397437470069	1661.5958684090187	204	208	0.9807692307692307
UMAP	umap	umap__metric-cosine__nn-50__mindist-1	metric=cosine, n_neighbors=50, min_dist=1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		50.0	1.0		2	0.4258716095196372	406.35358224391626	0.9240941903635617	2817.181748114218	205	207	0.9903381642512077
UMAP	umap	umap__metric-cosine__nn-5__mindist-0	metric=cosine, n_neighbors=5, min_dist=0	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		5.0	0.0		3	0.5656209325281261	639.2615288707674	0.6113528040008833	1324.7513984316474	76	177	0.4293785310734463
UMAP	umap	umap__metric-cosine__nn-5__mindist-0p1	metric=cosine, n_neighbors=5, min_dist=0.1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		5.0	0.1		3	0.5439817579600412	556.4550030214084	0.632485900370368	1350.005908446888	78	185	0.42162162162162165
UMAP	umap	umap__metric-cosine__nn-5__mindist-0p5	metric=cosine, n_neighbors=5, min_dist=0.5	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		5.0	0.5		3	0.4517999440413019	439.3049452997312	0.7689712005579029	2221.9256269901075	79	181	0.43646408839779005
UMAP	umap	umap__metric-cosine__nn-5__mindist-1	metric=cosine, n_neighbors=5, min_dist=1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		5.0	1.0		4	0.41503825546317474	418.22594552099747	0.8243739486398232	2368.5949346300513	77	132	0.5833333333333334
UMAP	umap	umap__metric-euclidean__nn-15__mindist-0	metric=euclidean, n_neighbors=15, min_dist=0	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		15.0	0.0		9	0.45041192220073106	528.897041483027	0.6997277911621999	155.22389497938292	17	63	0.2698412698412698
