test_id	method	method_key	k	variable	status	n	n_clusters	n_categories	test	statistic	chi_square_statistic	degrees_of_freedom	p_value	cramers_v	fisher_odds_ratio	min_expected_count	cells_expected_lt5	fraction_cells_expected_lt5	q_value_family	q_value
categorical::pca::center_code	PCA	pca	2	center_code	ok	412	2	2	fisher_exact	0.5768353853169175	7.363803922903418	1	0.006886360541911124	0.12441012636624758	0.5768353853169175	79.51456310679612	0	0.0	0.019443841530101997	0.018846881483125178
categorical::pca::gender	PCA	pca	2	gender	ok	412	2	2	fisher_exact	0.8020892687559354	1.1205476484556387	1	0.29727960463412606	0.016952435080130245	0.8020892687559354	59.94174757281554	0	0.0	0.3658825903189244	0.36806046288034655
categorical::pca::race	PCA	pca	2	race	ok	358	2	4	permutation_chi_square_5000	7.831360418851396	7.831360418851396	3	0.027994401119776045	0.11623162063744963		0.41899441340782123	2	0.25	0.05168197129804808	0.05019685718028808
categorical::pca::ajcc_pathologic_tumor_stage	PCA	pca	2	ajcc_pathologic_tumor_stage	ok	388	2	11	permutation_chi_square_5000	19.990507595347474	19.990507595347474	10	0.020195960807838434	0.16046391349807426		0.7989690721649485	4	0.18181818181818182	0.04039192161567687	0.038895924518799946
categorical::pca::histological_type	PCA	pca	2	histological_type	ok	410	2	7	permutation_chi_square_5000	46.195434698556966	46.195434698556966	6	0.0001999600079984003	0.3134359040498898		2.851219512195122	3	0.21428571428571427	0.0013057362314934755	0.0012573756303270506
categorical::pca::histological_grade	PCA	pca	2	histological_grade	ok	412	2	4	permutation_chi_square_5000	22.211992513373808	22.211992513373808	3	0.0001999600079984003	0.21616434528197612		3.6699029126213594	2	0.25	0.0013057362314934755	0.0012573756303270506
categorical::pca::tumor_status	PCA	pca	2	tumor_status	ok	369	2	2	fisher_exact	1.8246869409660107	7.545801774398983	1	0.00820115192170904	0.13334261096681402	1.8246869409660107	55.50677506775068	0	0.0	0.020718699591685995	0.020307614282327142
categorical::pca::vital_status	PCA	pca	2	vital_status	ok	411	2	2	fisher_exact	1.8872266973532796	9.55910718973512	1	0.002755185331519362	0.14446468948177843	1.8872266973532796	64.99270072992701	0	0.0	0.009446349708066385	0.008954352327437926
categorical::pca::OS	PCA	pca	2	OS	ok	412	2	2	fisher_exact	1.8987341772151898	9.753545273818547	1	0.002022552683252077	0.14591905223604842	1.8987341772151898	64.83495145631068	0	0.0	0.009436430208387633	0.008764394960759
categorical::pca::DSS	PCA	pca	2	DSS	ok	389	2	2	fisher_exact	1.684840425531915	4.896215935119308	1	0.03161926651229302	0.10017593388961725	1.684840425531915	39.732647814910024	0	0.0	0.05621202935518759	0.0548067286213079
categorical::pca::DFI	PCA	pca	2	DFI	ok	242	2	2	fisher_exact	2.1802451333813986	5.388296138053507	1	0.025525392108227914	0.13487695706848002	2.1802451333813986	17.235537190082646	0	0.0	0.0490087528477976	0.047404299629566125
categorical::pca::PFI	PCA	pca	2	PFI	ok	412	2	2	fisher_exact	1.7890789078907892	7.494001091890578	1	0.007332813488829951	0.12567681906723513	1.7890789078907892	54.23300970873787	0	0.0	0.01955416930354654	0.01906531507095787
categorical::tsne::center_code	t-SNE	tsne	3	center_code	ok	412	3	2	chi_square	5.331887250596935	5.331887250596935	2	0.06953370879940482	0.08997216069006202		56.79611650485437	0	0.0	0.11125393407904771	0.10956826841118335
categorical::tsne::gender	t-SNE	tsne	3	gender	ok	412	3	2	chi_square	2.029196111783713	2.029196111783713	2	0.36254812463256014	0.0076939758669165486		42.81553398058252	0	0.0	0.42444658493568016	0.42846596547484384
categorical::tsne::race	t-SNE	tsne	3	race	ok	358	3	4	permutation_chi_square_5000	9.440980839541243	9.440980839541243	6	0.10657868426314737	0.06934918162826527		0.2988826815642458	6	0.5	0.1650250595042282	0.16300269357893127
categorical::tsne::ajcc_pathologic_tumor_stage	t-SNE	tsne	3	ajcc_pathologic_tumor_stage	ok	388	3	11	permutation_chi_square_5000	17.654649916787672	17.654649916787672	20	0.6274745050989802	0.0		0.5824742268041238	7	0.21212121212121213	0.6274745050989802	0.6397779267675876
categorical::tsne::histological_type	t-SNE	tsne	3	histological_type	ok	410	3	7	permutation_chi_square_5000	60.782814238095355	60.782814238095355	12	0.0001999600079984003	0.24443326486498618		2.048780487804878	6	0.2857142857142857	0.0013057362314934755	0.0012573756303270506
categorical::tsne::histological_grade	t-SNE	tsne	3	histological_grade	ok	412	3	4	permutation_chi_square_5000	37.12939823791093	37.12939823791093	6	0.0001999600079984003	0.19479560581061303		2.621359223300971	6	0.5	0.0013057362314934755	0.0012573756303270506
categorical::tsne::tumor_status	t-SNE	tsne	3	tumor_status	ok	369	3	2	chi_square	11.41097250065787	11.41097250065787	2	0.0033276589164302913	0.15987093275140055		40.36856368563686	0	0.0	0.009989868958817885	0.009619873812195
categorical::tsne::vital_status	t-SNE	tsne	3	vital_status	ok	411	3	2	chi_square	12.094747347875956	12.094747347875956	2	0.0023640626598331383	0.15687442020081663		46.42335766423358	0	0.0	0.009436430208387633	0.00885975947343061
categorical::tsne::OS	t-SNE	tsne	3	OS	ok	412	3	2	chi_square	12.409587602368568	12.409587602368568	2	0.0020197252307865223	0.15910931388866872		46.310679611650485	0	0.0	0.009436430208387633	0.008764394960759
categorical::tsne::DSS	t-SNE	tsne	3	DSS	ok	389	3	2	chi_square	11.938858359362385	11.938858359362385	2	0.0025556998481049836	0.16000780994155755		28.627249357326477	0	0.0	0.009436430208387633	0.00885975947343061
categorical::tsne::DFI	t-SNE	tsne	3	DFI	ok	242	3	2	chi_square	9.219410645601254	9.219410645601254	2	0.00995475131391983	0.17298017597637563		12.438016528925619	0	0.0	0.02285257234267432	0.02260417481721047
categorical::tsne::PFI	t-SNE	tsne	3	PFI	ok	412	3	2	chi_square	16.865495408902316	16.865495408902316	2	0.0002176227052489126	0.19015115771813382		38.737864077669904	0	0.0	0.0013057362314934755	0.0012573756303270506
categorical::umap::center_code	UMAP	umap	9	center_code	ok	412	9	2	chi_square	47.19404423253907	47.19404423253907	8	1.4081407994173496e-07	0.30873263980616145		8.992718446601941	0	0.0	6.759075837203278e-06	7.322332156970218e-06
