method	method_key	configuration_id	configuration_label	is_primary	source_file	metric	perplexity	n_neighbors	min_dist	pre_pca_components	k	silhouette	calinski_harabasz	davies_bouldin	inertia	min_cluster_size	max_cluster_size	cluster_size_ratio
t-SNE	tsne	tsne__metric-cosine__perplexity-5	metric=cosine, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	5.0				7	0.4348446978939142	509.4230184002831	0.7344094679445454	66992.09482477621	31	78	0.3974358974358974
t-SNE	tsne	tsne__metric-cosine__perplexity-5	metric=cosine, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	5.0				8	0.4367981914975905	516.3144663806476	0.7372630137391352	57568.82051102357	22	79	0.27848101265822783
t-SNE	tsne	tsne__metric-cosine__perplexity-5	metric=cosine, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	5.0				9	0.425393673659783	519.506937673788	0.7685912835220567	50613.66885384594	21	56	0.375
t-SNE	tsne	tsne__metric-cosine__perplexity-5	metric=cosine, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	5.0				10	0.43146829711702933	540.4321291854956	0.7807019844824579	43711.12577083209	21	56	0.375
t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	15.0				2	0.4755141067430599	509.123757683814	0.8211487952913272	87805.10075557735	198	214	0.9252336448598131
t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	15.0				3	0.45903309934897496	502.7524554971087	0.772069096840224	56915.260668080184	91	175	0.52
t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	15.0				4	0.45466182984732495	543.5268016580617	0.7636209124890743	39395.099209626525	84	146	0.5753424657534246
t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	15.0				5	0.43675652054312275	560.0156260658308	0.7660517073372904	30264.959269746207	60	102	0.5882352941176471
t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	15.0				6	0.4234152290615436	555.4281425613082	0.7474484052732236	25106.14756354383	53	92	0.5760869565217391
t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	15.0				7	0.41853723937287446	542.6146506162604	0.7516040292427176	21777.208034032556	32	91	0.3516483516483517
t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	15.0				8	0.3980125299050051	537.8189544156545	0.7956925176666223	19075.99495786821	26	80	0.325
t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	15.0				9	0.388586321780341	529.0924787562076	0.8124315474519538	17111.806979065313	27	69	0.391304347826087
t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	15.0				10	0.40468339348893806	535.059548179039	0.7589641586041964	15165.980217303153	22	56	0.39285714285714285
t-SNE	tsne	tsne__metric-cosine__perplexity-30	metric=cosine, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	30.0				2	0.44859901117502515	418.85283240061784	0.860422001378948	33788.829979817136	169	243	0.6954732510288066
t-SNE	tsne	tsne__metric-cosine__perplexity-30	metric=cosine, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	30.0				3	0.4765483862706335	520.4308649563417	0.7657436071793006	19269.18934284663	105	159	0.660377358490566
t-SNE	tsne	tsne__metric-cosine__perplexity-30	metric=cosine, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	30.0				4	0.46331967308222394	535.9271109459255	0.7261493194394707	13825.583411748854	83	140	0.5928571428571429
t-SNE	tsne	tsne__metric-cosine__perplexity-30	metric=cosine, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	30.0				5	0.4202798731791637	512.2140534261631	0.8212914307053983	11320.306768863093	66	103	0.6407766990291263
t-SNE	tsne	tsne__metric-cosine__perplexity-30	metric=cosine, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	30.0				6	0.40520698741556577	502.7797227278122	0.8619197208393213	9497.84295666086	57	86	0.6627906976744186
t-SNE	tsne	tsne__metric-cosine__perplexity-30	metric=cosine, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	30.0				7	0.3997081641856898	509.38525816795357	0.8592583807449371	7992.470730352668	41	76	0.5394736842105263
t-SNE	tsne	tsne__metric-cosine__perplexity-30	metric=cosine, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	30.0				8	0.3829724730864913	509.3571169066985	0.8375794019666399	6952.040627105676	33	66	0.5
t-SNE	tsne	tsne__metric-cosine__perplexity-30	metric=cosine, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	30.0				9	0.4059308274020928	508.0163883781736	0.752637159297294	6162.303301441925	28	77	0.36363636363636365
t-SNE	tsne	tsne__metric-cosine__perplexity-30	metric=cosine, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	30.0				10	0.38764091600612605	512.5575607459243	0.7904699274765646	5475.455776106901	26	63	0.4126984126984127
t-SNE	tsne	tsne__metric-cosine__perplexity-50	metric=cosine, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	50.0				2	0.4633606022989891	465.46765340842126	0.8576834732721796	11861.401789136076	205	207	0.9903381642512077
t-SNE	tsne	tsne__metric-cosine__perplexity-50	metric=cosine, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	50.0				3	0.49432360290137883	567.7473335513115	0.7139783036836332	6707.013183373456	96	170	0.5647058823529412
t-SNE	tsne	tsne__metric-cosine__perplexity-50	metric=cosine, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	50.0				4	0.4474517259038087	535.306258920954	0.8142263357708688	5131.099981080294	83	135	0.6148148148148148
t-SNE	tsne	tsne__metric-cosine__perplexity-50	metric=cosine, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	50.0				5	0.43067418879037855	552.8249477884302	0.8223267518252249	3937.0171191286026	70	98	0.7142857142857143
t-SNE	tsne	tsne__metric-cosine__perplexity-50	metric=cosine, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	50.0				6	0.411310099745333	529.4662877617046	0.8715409082296124	3367.784929445317	43	98	0.4387755102040816
t-SNE	tsne	tsne__metric-cosine__perplexity-50	metric=cosine, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	50.0				7	0.4076114843737838	529.0234437382171	0.8379440202553123	2865.949420578666	39	85	0.4588235294117647
t-SNE	tsne	tsne__metric-cosine__perplexity-50	metric=cosine, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	50.0				8	0.39413379507310453	524.1562711787061	0.8277879679620834	2512.1710588333385	37	84	0.44047619047619047
